,0
1414,GO:0006419
1415,GO:0006420
1416,GO:0006422
1417,GO:0006423
1418,GO:0006424
1419,GO:0006426
1420,GO:0006427
1421,GO:0006428
1422,GO:0006429
1423,GO:0006430
1424,GO:0006431
1425,GO:0006432
1426,GO:0006433
1427,GO:0006434
1428,GO:0006435
1429,GO:0006437
1430,GO:0006446
1431,GO:0043244
1432,GO:0006450
1433,GO:0006457
1434,GO:0036211
1435,GO:0006518
1436,GO:0006469
1437,GO:0033673
1438,GO:0045859
1439,GO:0006470
1440,GO:0016311
1441,GO:0006473
1442,GO:0043543
1443,GO:0051604
1444,GO:0006475
1445,GO:0018212
1446,GO:0006479
1447,GO:0008213
1448,GO:0070988
1449,GO:0006486
1450,GO:0043413
1451,GO:0006487
1452,GO:0008654
1453,GO:0044255
1454,GO:0006497
1455,GO:0006664
1456,GO:0046488
1457,GO:0006661
1458,GO:0009247
1459,GO:0006508
1460,GO:0019538
1461,GO:0006511
1462,GO:0019941
1463,GO:0006515
1464,GO:0030163
1465,GO:0010565
1466,GO:0006522
1467,GO:0009078
1468,GO:0006523
1469,GO:0009079
1470,GO:0006525
1471,GO:0009064
1472,GO:0006526
1473,GO:0009084
1474,GO:0006527
1475,GO:0009065
1476,GO:0009066
1477,GO:0009067
1478,GO:0009068
1479,GO:0043650
1480,GO:0006534
1481,GO:0009069
1482,GO:0006563
1483,GO:0019344
1484,GO:0006536
1485,GO:0006541
1486,GO:0006544
1487,GO:0006545
1488,GO:0009070
1489,GO:0006546
1490,GO:0009071
1491,GO:0009072
1492,GO:0006548
1493,GO:1901606
1494,GO:0006549
1495,GO:0009081
1496,GO:0006551
1497,GO:0006553
